Country,Current,Capital,Financial,Exporters_Importers
United States,-449700,-4197,-419713.7,Net Importers
United Kingdom,-104799.37,-4243.3,-113334.6,Net Importers
China,24130.91,-568.6,-153805.6,Net Exporters
Brazil,-51459.59,439.7,-52332.1,Net Importers
Canada,-40435.65,-59.9,-35129.6,Net Importers
Ireland,24169.68,-59355.6,-35352.7,Net Exporters
Australia,-29784.74,-361.4,-35833.5,Net Importers
Indonesia,-30633.12,97.2,-32255.1,Net Importers
Mexico,-25339.47,-64.6,-31612.9,Net Importers
Argentina,-27049.21,83.8,-28079.3,Net Importers
France,-16831.86,2481.3,-29690.8,Net Importers
Pakistan,-18858.99,323,-18916.3,Net Importers
Algeria,-16709.17,0.2,-16844.2,Net Importers
Turkey,-21743,80,-10858.4,Net Importers
South Africa,-13384.04,18,-11388.6,Net Importers
Finland,-5158.73,229.1,-18974.3,Net Importers
Chile,-11640.43,42.8,-11310.4,Net Importers
Philippines,-8877.05,64.9,-11637.7,Net Importers
Egypt,-7698.17,-133.1,-11440.4,Net Importers
Lebanon,-13364.37,1438.2,-4151.4,Net Importers
Bangladesh,-7095.17,264.2,-7616.3,Net Importers
Romania,-11136.06,2928.2,-6036.7,Net Importers
Morocco,-6205.21,0,-4932.9,Net Importers
Ukraine,-6432,37,-4722.2,Net Importers
Panama,-4966.79,22.7,-6129.7,Net Importers
New Zealand,-8620.26,-28.1,-2213.1,Net Importers
Greece,-6248.52,419,-4869.9,Net Importers
Kenya,-5047.67,262.5,-5682.7,Net Importers
Belgium,-4138.11,155.4,-5807.9,Net Importers
Oman,-4289.09,102,-5089,Net Importers
Peru,-3821.09,6,-5014.2,Net Importers
Mozambique,-4500.76,164.2,-4332,Net Importers
Tunisia,-4443.33,128.4,-3751,Net Importers
Sudan,-4678.5,162.9,-2968.2,Net Importers
Jordan,-2962.76,33.8,-3965.1,Net Importers
Sri Lanka,-2799.05,14.4,-3377.2,Net Importers
Cambodia,-2895.57,325.8,-2207.1,Net Importers
Bolivia,-1823.14,6.8,-2755,Net Importers
Côte d'Ivoire,-2284.5,152.4,-2219.3,Net Importers
Nepal,-2774.67,133.9,-1665.5,Net Importers
Uganda,-2302.2,95.2,-1956.3,Net Importers
Tanzania,-1897.83,255,-2440.9,Net Importers
Lao People's Dem. Rep.,-1648.94,12.5,-2335,Net Importers
Slovak Rep.,-2292.98,990.2,-2588.5,Net Importers
Costa Rica,-1890.33,30.7,-1867.3,Net Importers
Senegal,-2215.26,440.6,-1792.3,Net Importers
Dominican Rep.,-1321.5,2.2,-2235.4,Net Importers
Ecuador,-1332.83,-175.2,-1712.3,Net Importers
Maldives,-1502.53,0,-1709.7,Net Importers
West Bank and Gaza,-2140.38,449.2,-1326.8,Net Importers
Cameroon,-1409.33,159.2,-1402.3,Net Importers
Congo,-1672.32,437.1,-1348.2,Net Importers
Honduras,-1581.82,15.6,-1009.8,Net Importers
Moldova,-1185.86,-35.4,-1176.4,Net Importers
Guyana,-1176.63,12.9,-1207.1,Net Importers
Georgia,-1191.69,76.1,-1207.4,Net Importers
Niger,-1625.02,624,-1015.3,Net Importers
Bahamas,-1115.27,0,-848.4,Net Importers
El Salvador,-859.15,203.3,-1247.6,Net Importers
Albania,-1010.24,121.9,-915.4,Net Importers
Cyprus,-958.16,151.2,-882,Net Importers
Jamaica,-243.92,20.2,-1340.4,Net Importers
"Armenia, Rep. of",-860.01,67.6,-680.6,Net Importers
Fiji,-469.13,5,-797.4,Net Importers
Malawi,-1618.12,859.1,-486.3,Net Importers
Mali,-835.85,239.3,-548.4,Net Importers
Bosnia and Herzegovina,-676.47,187.8,-543.7,Net Importers
Kyrgyz Rep.,-961.73,335,-383.1,Net Importers
"Kosovo, Rep. of",-600.5,-13.4,-395.8,Net Importers
Benin,-648.78,196.5,-457.5,Net Importers
Paraguay,-67.25,152.6,-993.1,Net Importers
Sierra Leone,-761.71,66.3,-198.6,Net Importers
Nicaragua,-234.1,119.8,-611.8,Net Importers
Burkina Faso,-664.8,316.6,-364.9,Net Importers
Haiti,-342.99,33.7,-365.3,Net Importers
"Tajikistan, Rep. of",-379.68,175.9,-469.2,Net Importers
Namibia,-465.63,131.1,-279,Net Importers
Botswana,116.92,0,-705.3,Net Exporters
Zambia,-342.36,66.2,-252.4,Net Importers
Burundi,-362.64,118.4,-215,Net Importers
Seychelles,-282.95,49.8,-224.6,Net Importers
Anguilla,-135.73,2.7,-144.9,Net Importers
Belize,-150.79,24,-132.6,Net Importers
Dominica,-225.1,123.2,-113.8,Net Importers
Antigua and Barbuda,-113.17,20.4,-120,Net Importers
Cabo Verde,-102.4,15.5,-107.7,Net Importers
St. Vincent and the Grenadines,-99.14,8.7,-69.3,Net Importers
Gambia,-78.65,33,-112.6,Net Importers
Grenada,-116.33,61.7,-68.7,Net Importers
São Tomé and Príncipe,-75.13,29.9,-65.9,Net Importers
Guinea,-190.47,140.4,-38,Net Importers
St. Kitts and Nevis,-72.37,64.4,-59.9,Net Importers
Guinea-Bissau,-54.13,42.1,-21.9,Net Importers
Tonga,-30.87,49.1,-17,Net Importers
Macedonia,-16.56,13.4,5.7,Net Importers
Montserrat,-1.25,1.6,6.9,Net Importers
Marshall Islands,53.03,11.5,-42.1,Net Exporters
Lesotho,-59.91,36.6,49.5,Net Importers
Samoa,22.21,31.3,2.2,Net Exporters
Eswatini,60.73,-2.4,2,Net Exporters
Solomon Islands,-47.82,60,54.1,Net Importers
Tuvalu,25.95,10.4,40,Net Exporters
Djibouti,428.63,69.6,-411.1,Net Exporters
St. Lucia,102.84,38.3,84.4,Net Exporters
Vanuatu,85.91,39.7,128.1,Net Exporters
Togo,-184.85,316.4,123.3,Net Importers
Madagascar,98.05,239.8,139,Net Exporters
Bahrain,-2434.57,795.2,2208.9,Net Importers
Guatemala,622.34,0.5,259.7,Net Exporters
Estonia,280.09,402,795.4,Net Exporters
Malta,925.98,134.3,432.6,Net Exporters
Latvia,-98.93,608.6,1007.2,Net Importers
Kazakhstan,-138.45,251,1433.8,Net Importers
Lithuania,131.11,872.6,1284.1,Net Exporters
Iceland,985.67,-15.9,1452.5,Net Exporters
Malaysia,8026.4,-22.3,-4767.4,Net Exporters
Croatia,1027.74,856.3,2112.3,Net Exporters
Czech Rep.,1259.69,565.2,2981.3,Net Exporters
Bulgaria,559.36,701.8,3640.3,Net Exporters
Hungary,636.38,3614.8,1046.3,Net Exporters
"Slovenia, Rep. of",3170.22,-262.9,3010.6,Net Exporters
Poland,-7530,12148,1315,Net Importers
Portugal,1321.82,2385.7,3941.2,Net Exporters
Luxembourg,3333.28,930,4262.3,Net Exporters
Papua New Guinea,5450.8,7.6,4074.6,Net Exporters
Israel,9676.7,364.1,860.6,Net Exporters
Austria,5990.93,-2629.4,8358.1,Net Exporters
Azerbaijan,6051.08,1.4,6698.8,Net Exporters
Angola,7402.61,2.9,7246,Net Exporters
Sweden,14562.14,215,7686.1,Net Exporters
Macao,18302.87,-15.9,12589.3,Net Exporters
Hong Kong,13514.4,-200.7,22138.9,Net Exporters
Denmark,24829.86,31,16915,Net Exporters
