Country,Code,GDP_PCAP
Burundi,BDI,784.93
Central African Republic,CAF,986.68
Malawi,MWI,1106.62
"Congo, Dem. Rep.",COD,1146.54
Niger,NER,1278.7
Mozambique,MOZ,1338.1
Liberia,LBR,1491
Chad,TCD,1649.53
Togo,TGO,1667.3
Madagascar,MDG,1719.91
Sierra Leone,SLE,1794.31
Guinea-Bissau,GNB,2077.4
Afghanistan,AFG,2156.42
Burkina Faso,BFA,2274.72
Uganda,UGA,2284.27
Ethiopia,ETH,2319.71
"Gambia, The",GMB,2321.24
Rwanda,RWA,2325.41
Kiribati,KIR,2372.45
Mali,MLI,2424.33
Low income,LIC,2497.14
Heavily indebted poor countries (HIPC),HPC,2663.07
Guinea,GIN,2675.46
Tanzania,TZA,2770.68
Solomon Islands,SLB,2780.64
Lesotho,LSO,2824.09
Zimbabwe,ZWE,2961.45
Haiti,HTI,3034.01
Least developed countries: UN classification,LDC,3129.56
Comoros,COM,3194.9
Vanuatu,VUT,3292.54
Benin,BEN,3432.78
IDA only,IDX,3462.73
Tajikistan,TJK,3529.31
Senegal,SEN,3545.1
Nepal,NPL,3567.99
Zambia,ZMB,3624.02
Pre-demographic dividend,PRE,3657.54
Timor-Leste,TLS,3709.81
Cameroon,CMR,3803.46
"Congo, Rep.",COG,3835.66
Sub-Saharan Africa (excluding high income),SSA,3901.6
Sub-Saharan Africa,SSF,3926.79
Sub-Saharan Africa (IDA & IBRD countries),TSS,3926.79
IDA total,IDA,3995.89
Sudan,SDN,4122.53
Sao Tome and Principe,STP,4145.23
Tuvalu,TUV,4470.86
Kenya,KEN,4521.48
Papua New Guinea,PNG,4547.56
Cambodia,KHM,4583.02
Pakistan,PAK,4898.05
Bangladesh,BGD,4964.09
Fragile and conflict affected situations,FCS,4982.46
IDA blend,IDB,5080.12
Nigeria,NGA,5362.76
Myanmar,MMR,5369.71
Mauritania,MRT,5427.06
Cote d'Ivoire,CIV,5443.22
Kyrgyz Republic,KGZ,5486.16
Nicaragua,NIC,5646.4
