Country,Country Code,Region,Year,PCAP,Population,Life_Exp
Australia,AUS,East Asia & Pacific,1990,18211.50,17065100,76.99
Australia,AUS,East Asia & Pacific,1991,18821.80,17284000,77.28
Australia,AUS,East Asia & Pacific,1992,18570.12,17495000,77.38
Australia,AUS,East Asia & Pacific,1993,17634.53,17667000,77.88
Australia,AUS,East Asia & Pacific,1994,18046.14,17855000,77.88
Australia,AUS,East Asia & Pacific,1995,20319.63,18072000,77.83
Australia,AUS,East Asia & Pacific,1996,21861.33,18311000,78.08
Australia,AUS,East Asia & Pacific,1997,23468.60,18517000,78.48
Australia,AUS,East Asia & Pacific,1998,21318.96,18711000,78.63
Australia,AUS,East Asia & Pacific,1999,20533.04,18926000,78.93
Australia,AUS,East Asia & Pacific,2000,21679.25,19153000,79.23
Australia,AUS,East Asia & Pacific,2001,19490.86,19413000,79.63
Australia,AUS,East Asia & Pacific,2002,20082.48,19651400,79.94
Australia,AUS,East Asia & Pacific,2003,23447.03,19895400,80.24
Australia,AUS,East Asia & Pacific,2004,30430.68,20127400,80.49
Australia,AUS,East Asia & Pacific,2005,33999.24,20394800,80.84
Australia,AUS,East Asia & Pacific,2006,36044.92,20697900,81.04
Australia,AUS,East Asia & Pacific,2007,40960.05,20827600,81.29
Australia,AUS,East Asia & Pacific,2008,49601.66,21249200,81.40
Australia,AUS,East Asia & Pacific,2009,42772.36,21691700,81.54
Australia,AUS,East Asia & Pacific,2010,52022.13,22031750,81.70
Australia,AUS,East Asia & Pacific,2011,62517.83,22340024,81.90
Australia,AUS,East Asia & Pacific,2012,68012.15,22733465,82.05
Australia,AUS,East Asia & Pacific,2013,68150.11,23128129,82.15
Australia,AUS,East Asia & Pacific,2014,62510.79,23475686,82.30
Australia,AUS,East Asia & Pacific,2015,56755.72,23815995,82.40
Australia,AUS,East Asia & Pacific,2016,49971.13,24190907,82.45
Australia,AUS,East Asia & Pacific,2017,54027.97,24601860,82.50
Australia,AUS,East Asia & Pacific,2018,57354.96,24982688,82.75
Australia,AUS,East Asia & Pacific,2019,55057.20,25365745,82.90
Brunei Darussalam,BRN,East Asia & Pacific,1990,13607.52,258714,70.19
Brunei Darussalam,BRN,East Asia & Pacific,1991,13905.06,266208,70.44
Brunei Darussalam,BRN,East Asia & Pacific,1992,15274.44,273888,70.70
Brunei Darussalam,BRN,East Asia & Pacific,1993,14575.73,281684,70.95
Brunei Darussalam,BRN,East Asia & Pacific,1994,14120.85,289452,71.21
Brunei Darussalam,BRN,East Asia & Pacific,1995,15933.35,297112,71.47
Brunei Darussalam,BRN,East Asia & Pacific,1996,16793.28,304620,71.73
Brunei Darussalam,BRN,East Asia & Pacific,1997,16660.36,311962,71.99
Brunei Darussalam,BRN,East Asia & Pacific,1998,12693.79,319135,72.27
Brunei Darussalam,BRN,East Asia & Pacific,1999,14101.35,326214,72.54
Brunei Darussalam,BRN,East Asia & Pacific,2000,18012.56,333166,72.81
Brunei Darussalam,BRN,East Asia & Pacific,2001,16472.15,340037,73.08
Brunei Darussalam,BRN,East Asia & Pacific,2002,16850.15,346777,73.33
Brunei Darussalam,BRN,East Asia & Pacific,2003,18560.61,353295,73.58
Brunei Darussalam,BRN,East Asia & Pacific,2004,21902.09,359434,73.80
Brunei Darussalam,BRN,East Asia & Pacific,2005,26105.28,365112,74.01
Brunei Darussalam,BRN,East Asia & Pacific,2006,30979.88,370262,74.19
Brunei Darussalam,BRN,East Asia & Pacific,2007,32663.57,374967,74.35
Brunei Darussalam,BRN,East Asia & Pacific,2008,37934.38,379418,74.49
Brunei Darussalam,BRN,East Asia & Pacific,2009,27955.71,383902,74.62
Brunei Darussalam,BRN,East Asia & Pacific,2010,35269.55,388634,74.74
Brunei Darussalam,BRN,East Asia & Pacific,2011,47055.84,393687,74.85
Brunei Darussalam,BRN,East Asia & Pacific,2012,47740.51,398997,74.96
Brunei Darussalam,BRN,East Asia & Pacific,2013,44740.09,404414,75.08
Brunei Darussalam,BRN,East Asia & Pacific,2014,41726.78,409778,75.19
Brunei Darussalam,BRN,East Asia & Pacific,2015,31164.56,414914,75.32
Brunei Darussalam,BRN,East Asia & Pacific,2016,27157.82,419791,75.45
Brunei Darussalam,BRN,East Asia & Pacific,2017,28572.15,424481,75.59
Brunei Darussalam,BRN,East Asia & Pacific,2018,31628.33,428960,75.72
Brunei Darussalam,BRN,East Asia & Pacific,2019,31086.75,433296,75.86
China,CHN,East Asia & Pacific,1990,317.88,1135185000,69.15
China,CHN,East Asia & Pacific,1991,333.14,1150780000,69.24
China,CHN,East Asia & Pacific,1992,366.46,1164970000,69.36
China,CHN,East Asia & Pacific,1993,377.39,1178440000,69.50
China,CHN,East Asia & Pacific,1994,473.49,1191835000,69.67
China,CHN,East Asia & Pacific,1995,609.66,1204855000,69.89
China,CHN,East Asia & Pacific,1996,709.41,1217550000,70.14
China,CHN,East Asia & Pacific,1997,781.74,1230075000,70.43
China,CHN,East Asia & Pacific,1998,828.58,1241935000,70.74
China,CHN,East Asia & Pacific,1999,873.29,1252735000,71.06
China,CHN,East Asia & Pacific,2000,959.37,1262645000,71.40
China,CHN,East Asia & Pacific,2001,1053.11,1271850000,71.73
China,CHN,East Asia & Pacific,2002,1148.51,1280400000,72.06
China,CHN,East Asia & Pacific,2003,1288.64,1288400000,72.38
China,CHN,East Asia & Pacific,2004,1508.67,1296075000,72.69
China,CHN,East Asia & Pacific,2005,1753.42,1303720000,72.99
China,CHN,East Asia & Pacific,2006,2099.23,1311020000,73.27
China,CHN,East Asia & Pacific,2007,2693.97,1317885000,73.55
China,CHN,East Asia & Pacific,2008,3468.30,1324655000,73.84
China,CHN,East Asia & Pacific,2009,3832.24,1331260000,74.12
China,CHN,East Asia & Pacific,2010,4550.45,1337705000,74.41
China,CHN,East Asia & Pacific,2011,5618.13,1344130000,74.71
China,CHN,East Asia & Pacific,2012,6316.92,1350695000,75.01
China,CHN,East Asia & Pacific,2013,7050.65,1357380000,75.32
China,CHN,East Asia & Pacific,2014,7678.60,1364270000,75.63
China,CHN,East Asia & Pacific,2015,8066.94,1371220000,75.93
China,CHN,East Asia & Pacific,2016,8147.94,1378665000,76.21
China,CHN,East Asia & Pacific,2017,8879.44,1386395000,76.47
China,CHN,East Asia & Pacific,2018,9976.68,1392730000,76.70
China,CHN,East Asia & Pacific,2019,10216.63,1397715000,76.91
Hong Kong,HKG,East Asia & Pacific,1990,13485.54,5704500,77.38
Hong Kong,HKG,East Asia & Pacific,1991,15465.86,5752000,77.88
Hong Kong,HKG,East Asia & Pacific,1992,17976.43,5800500,77.68
Hong Kong,HKG,East Asia & Pacific,1993,20395.52,5901000,78.03
Hong Kong,HKG,East Asia & Pacific,1994,22502.58,6035400,78.53
Hong Kong,HKG,East Asia & Pacific,1995,23497.49,6156100,78.68
Hong Kong,HKG,East Asia & Pacific,1996,24818.15,6435500,79.63
