Country,Code,Expected,Actual,Gini_Index
Slovenia,SVN,0,0,0.2292
Slovenia,SVN,0.2,0.101,0.2292
Slovenia,SVN,0.4,0.247,0.2292
Slovenia,SVN,0.6,0.428,0.2292
Slovenia,SVN,0.8,0.651,0.2292
Slovenia,SVN,1,1,0.2292
Czech Republic,CZE,0,0,0.2316
Czech Republic,CZE,0.2,0.102,0.2316
Czech Republic,CZE,0.4,0.249,0.2316
Czech Republic,CZE,0.6,0.425,0.2316
Czech Republic,CZE,0.8,0.645,0.2316
Czech Republic,CZE,1,1,0.2316
Belarus,BLR,0,0,0.2338
Belarus,BLR,0.2,0.101,0.2338
Belarus,BLR,0.4,0.245,0.2338
Belarus,BLR,0.6,0.423,0.2338
Belarus,BLR,0.8,0.646,0.2338
Belarus,BLR,1,1,0.2338
Moldova,MDA,0,0,0.238
Moldova,MDA,0.2,0.102,0.238
Moldova,MDA,0.4,0.244,0.238
Moldova,MDA,0.6,0.419,0.238
Moldova,MDA,0.8,0.64,0.238
Moldova,MDA,1,1,0.238
Ukraine,UKR,0,0,0.2404
Ukraine,UKR,0.2,0.099,0.2404
Ukraine,UKR,0.4,0.24,0.2404
Ukraine,UKR,0.6,0.418,0.2404
Ukraine,UKR,0.8,0.641,0.2404
Ukraine,UKR,1,1,0.2404
United Arab Emirates,ARE,0,0,0.2452
United Arab Emirates,ARE,0.2,0.092,0.2452
United Arab Emirates,ARE,0.4,0.23,0.2452
United Arab Emirates,ARE,0.6,0.413,0.2452
United Arab Emirates,ARE,0.8,0.652,0.2452
United Arab Emirates,ARE,1,1,0.2452
Belgium,BEL,0,0,0.2524
Belgium,BEL,0.2,0.089,0.2524
Belgium,BEL,0.4,0.232,0.2524
Belgium,BEL,0.6,0.412,0.2524
Belgium,BEL,0.8,0.636,0.2524
Belgium,BEL,1,1,0.2524
Finland,FIN,0,0,0.2536
Finland,FIN,0.2,0.093,0.2536
Finland,FIN,0.4,0.233,0.2536
Finland,FIN,0.6,0.408,0.2536
Finland,FIN,0.8,0.632,0.2536
Finland,FIN,1,1,0.2536
Norway,NOR,0,0,0.2556
Norway,NOR,0.2,0.089,0.2556
Norway,NOR,0.4,0.23,0.2556
Norway,NOR,0.6,0.408,0.2556
Norway,NOR,0.8,0.634,0.2556
Norway,NOR,1,1,0.2556
Kyrgyz Republic,KGZ,0,0,0.2564
Kyrgyz Republic,KGZ,0.2,0.099,0.2564
Kyrgyz Republic,KGZ,0.4,0.234,0.2564
Kyrgyz Republic,KGZ,0.6,0.404,0.2564
Kyrgyz Republic,KGZ,0.8,0.622,0.2564
Kyrgyz Republic,KGZ,1,1,0.2564
Kazakhstan,KAZ,0,0,0.2594
Kazakhstan,KAZ,0.2,0.098,0.2594
Kazakhstan,KAZ,0.4,0.233,0.2594
Kazakhstan,KAZ,0.6,0.401,0.2594
Kazakhstan,KAZ,0.8,0.62,0.2594
Kazakhstan,KAZ,1,1,0.2594
Denmark,DNK,0,0,0.2596
Denmark,DNK,0.2,0.093,0.2596
Denmark,DNK,0.4,0.231,0.2596
Denmark,DNK,0.6,0.404,0.2596
Denmark,DNK,0.8,0.623,0.2596
Denmark,DNK,1,1,0.2596
Netherlands,NLD,0,0,0.2618
Netherlands,NLD,0.2,0.089,0.2618
Netherlands,NLD,0.4,0.227,0.2618
Netherlands,NLD,0.6,0.403,0.2618
Netherlands,NLD,0.8,0.627,0.2618
Netherlands,NLD,1,1,0.2618
Malta,MLT,0,0,0.2672
Malta,MLT,0.2,0.086,0.2672
Malta,MLT,0.4,0.222,0.2672
Malta,MLT,0.6,0.399,0.2672
Malta,MLT,0.8,0.625,0.2672
Malta,MLT,1,1,0.2672
Hungary,HUN,0,0,0.273
Hungary,HUN,0.2,0.082,0.273
Hungary,HUN,0.4,0.217,0.273
Hungary,HUN,0.6,0.395,0.273
Hungary,HUN,0.8,0.623,0.273
Hungary,HUN,1,1,0.273
Croatia,HRV,0,0,0.278
Croatia,HRV,0.2,0.078,0.278
Croatia,HRV,0.4,0.213,0.278
Croatia,HRV,0.6,0.391,0.278
Croatia,HRV,0.8,0.623,0.278
Croatia,HRV,1,1,0.278
Sweden,SWE,0,0,0.2788
Sweden,SWE,0.2,0.077,0.2788
Sweden,SWE,0.4,0.214,0.2788
Sweden,SWE,0.6,0.39,0.2788
Sweden,SWE,0.8,0.622,0.2788
Sweden,SWE,1,1,0.2788
Poland,POL,0,0,0.28
Poland,POL,0.2,0.082,0.28
Poland,POL,0.4,0.215,0.28
Poland,POL,0.6,0.389,0.28
Poland,POL,0.8,0.614,0.28
Poland,POL,1,1,0.28
Estonia,EST,0,0,0.2852
Estonia,EST,0.2,0.081,0.2852
Estonia,EST,0.4,0.209,0.2852
Estonia,EST,0.6,0.38,0.2852
Estonia,EST,0.8,0.617,0.2852
Estonia,EST,1,1,0.2852
Austria,AUT,0,0,0.2864
Austria,AUT,0.2,0.079,0.2864
Austria,AUT,0.4,0.209,0.2864
Austria,AUT,0.6,0.383,0.2864
Austria,AUT,0.8,0.613,0.2864
Austria,AUT,1,1,0.2864
Pakistan,PAK,0,0,0.291
Pakistan,PAK,0.2,0.091,0.291
Pakistan,PAK,0.4,0.217,0.291
Pakistan,PAK,0.6,0.377,0.291
Pakistan,PAK,0.8,0.588,0.291
Pakistan,PAK,1,1,0.291
France,FRA,0,0,0.2972
France,FRA,0.2,0.08,0.2972
France,FRA,0.4,0.209,0.2972
France,FRA,0.6,0.376,0.2972
France,FRA,0.8,0.592,0.2972
France,FRA,1,1,0.2972
Cyprus,CYP,0,0,0.3006
Cyprus,CYP,0.2,0.084,0.3006
Cyprus,CYP,0.4,0.209,0.3006
Cyprus,CYP,0.6,0.371,0.3006
Cyprus,CYP,0.8,0.585,0.3006
Cyprus,CYP,1,1,0.3006
Seychelles,SYC,0,0,0.3018
Seychelles,SYC,0.2,0.07,0.3018
Seychelles,SYC,0.4,0.196,0.3018
Seychelles,SYC,0.6,0.372,0.3018
Seychelles,SYC,0.8,0.608,0.3018
Seychelles,SYC,1,1,0.3018
Mongolia,MNG,0,0,0.3038
Mongolia,MNG,0.2,0.079,0.3038
Mongolia,MNG,0.4,0.202,0.3038
Mongolia,MNG,0.6,0.367,0.3038
Mongolia,MNG,0.8,0.592,0.3038
Mongolia,MNG,1,1,0.3038
Greece,GRC,0,0,0.306
Greece,GRC,0.2,0.072,0.306
Greece,GRC,0.4,0.196,0.306
Greece,GRC,0.6,0.368,0.306
Greece,GRC,0.8,0.599,0.306
Greece,GRC,1,1,0.306
Switzerland,CHE,0,0,0.3068
Switzerland,CHE,0.2,0.075,0.3068
Switzerland,CHE,0.4,0.199,0.3068
Switzerland,CHE,0.6,0.367,0.3068
Switzerland,CHE,0.8,0.592,0.3068
Switzerland,CHE,1,1,0.3068
North Macedonia,MKD,0,0,0.3104
North Macedonia,MKD,0.2,0.061,0.3104
North Macedonia,MKD,0.4,0.185,0.3104
North Macedonia,MKD,0.6,0.366,0.3104
North Macedonia,MKD,0.8,0.612,0.3104
North Macedonia,MKD,1,1,0.3104
Portugal,PRT,0,0,0.3106
Portugal,PRT,0.2,0.074,0.3106
Portugal,PRT,0.4,0.2,0.3106
Portugal,PRT,0.6,0.365,0.3106
Portugal,PRT,0.8,0.585,0.3106
Portugal,PRT,1,1,0.3106
Armenia,ARM,0,0,0.3136
Armenia,ARM,0.2,0.081,0.3136
Armenia,ARM,0.4,0.203,0.3136
Armenia,ARM,0.6,0.362,0.3136
Armenia,ARM,0.8,0.57,0.3136
Armenia,ARM,1,1,0.3136
Spain,ESP,0,0,0.3236
Spain,ESP,0.2,0.062,0.3236
Spain,ESP,0.4,0.184,0.3236
Spain,ESP,0.6,0.355,0.3236
Spain,ESP,0.8,0.59,0.3236
Spain,ESP,1,1,0.3236
Latvia,LVA,0,0,0.3242
Latvia,LVA,0.2,0.07,0.3242
Latvia,LVA,0.4,0.189,0.3242
Latvia,LVA,0.6,0.352,0.3242
Latvia,LVA,0.8,0.578,0.3242
Latvia,LVA,1,1,0.3242
Sierra Leone,SLE,0,0,0.3266
Sierra Leone,SLE,0.2,0.079,0.3266
Sierra Leone,SLE,0.4,0.196,0.3266
Sierra Leone,SLE,0.6,0.349,0.3266
Sierra Leone,SLE,0.8,0.559,0.3266
Sierra Leone,SLE,1,1,0.3266
Nigeria,NGA,0,0,0.3268
Nigeria,NGA,0.2,0.071,0.3268
Nigeria,NGA,0.4,0.187,0.3268
Nigeria,NGA,0.6,0.349,0.3268
Nigeria,NGA,0.8,0.576,0.3268
Nigeria,NGA,1,1,0.3268
Luxembourg,LUX,0,0,0.3284
Luxembourg,LUX,0.2,0.066,0.3284
Luxembourg,LUX,0.4,0.185,0.3284
Luxembourg,LUX,0.6,0.35,0.3284
Luxembourg,LUX,0.8,0.578,0.3284
Luxembourg,LUX,1,1,0.3284
Lithuania,LTU,0,0,0.3302
Lithuania,LTU,0.2,0.066,0.3302
Lithuania,LTU,0.4,0.186,0.3302
Lithuania,LTU,0.6,0.349,0.3302
Lithuania,LTU,0.8,0.573,0.3302
Lithuania,LTU,1,1,0.3302
Vietnam,VNM,0,0,0.3302
Vietnam,VNM,0.2,0.067,0.3302
Vietnam,VNM,0.4,0.186,0.3302
Vietnam,VNM,0.6,0.349,0.3302
Vietnam,VNM,0.8,0.572,0.3302
Vietnam,VNM,1,1,0.3302
Romania,ROU,0,0,0.3356
Romania,ROU,0.2,0.054,0.3356
Romania,ROU,0.4,0.173,0.3356
Romania,ROU,0.6,0.346,0.3356
Romania,ROU,0.8,0.588,0.3356
Romania,ROU,1,1,0.3356
Georgia,GEO,0,0,0.338
Georgia,GEO,0.2,0.065,0.338
Georgia,GEO,0.4,0.18,0.338
Georgia,GEO,0.6,0.342,0.338
Georgia,GEO,0.8,0.568,0.338
Georgia,GEO,1,1,0.338
Thailand,THA,0,0,0.3388
Thailand,THA,0.2,0.072,0.3388
Thailand,THA,0.4,0.183,0.3388
Thailand,THA,0.6,0.338,0.3388
Thailand,THA,0.8,0.56,0.3388
Thailand,THA,1,1,0.3388
Russian Federation,RUS,0,0,0.3448
Russian Federation,RUS,0.2,0.071,0.3448
Russian Federation,RUS,0.4,0.183,0.3448
Russian Federation,RUS,0.6,0.335,0.3448
Russian Federation,RUS,0.8,0.549,0.3448
Russian Federation,RUS,1,1,0.3448
Indonesia,IDN,0,0,0.3502
Indonesia,IDN,0.2,0.069,0.3502
Indonesia,IDN,0.4,0.177,0.3502
Indonesia,IDN,0.6,0.329,0.3502
Indonesia,IDN,0.8,0.55,0.3502
Indonesia,IDN,1,1,0.3502
Lao PDR,LAO,0,0,0.357
Lao PDR,LAO,0.2,0.07,0.357
Lao PDR,LAO,0.4,0.178,0.357
Lao PDR,LAO,0.6,0.325,0.357
Lao PDR,LAO,0.8,0.535,0.357
Lao PDR,LAO,1,1,0.357
El Salvador,SLV,0,0,0.3576
El Salvador,SLV,0.2,0.062,0.3576
El Salvador,SLV,0.4,0.171,0.3576
El Salvador,SLV,0.6,0.326,0.3576
El Salvador,SLV,0.8,0.547,0.3576
El Salvador,SLV,1,1,0.3576
Uruguay,URY,0,0,0.3684
Uruguay,URY,0.2,0.059,0.3684
Uruguay,URY,0.4,0.163,0.3684
Uruguay,URY,0.6,0.316,0.3684
Uruguay,URY,0.8,0.541,0.3684
Uruguay,URY,1,1,0.3684
Bulgaria,BGR,0,0,0.376
Bulgaria,BGR,0.2,0.057,0.376
Bulgaria,BGR,0.4,0.165,0.376
Bulgaria,BGR,0.6,0.314,0.376
Bulgaria,BGR,0.8,0.524,0.376
Bulgaria,BGR,1,1,0.376
United States,USA,0,0,0.381
United States,USA,0.2,0.052,0.381
United States,USA,0.4,0.155,0.381
United States,USA,0.6,0.308,0.381
United States,USA,0.8,0.532,0.381
United States,USA,1,1,0.381
Argentina,ARG,0,0,0.3844
Argentina,ARG,0.2,0.05,0.3844
