Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding
7/26/2021,22299753466972,6188534772553,28488288239524
7/23/2021,22299532173727,6175408509790,28474940683517
7/22/2021,22296153948890,6175117883385,28471271832274
7/21/2021,22303232541301,6170931997417,28474164538718
7/20/2021,22304036228186,6189272117446,28493308345633
7/19/2021,22344214950191,6189008188878,28533223139069
7/16/2021,22344306552282,6178710219315,28523016771598
7/15/2021,22345372642438,6176755964138,28522128606577
7/14/2021,22290773813444,6170381932718,28461155746163
7/13/2021,22289663938121,6187410462063,28477074400184
7/12/2021,22314724385689,6175520671070,28490245056759
7/9/2021,22315029737100,6170465943138,28485495680238
7/8/2021,22314776050830,6165378307707,28480154358538
7/7/2021,22306770866016,6165699173738,28472470039753
7/6/2021,22306603924620,6158960252096,28465564176716
7/2/2021,22328099402276,6152490607212,28480590009488
7/1/2021,22327776340518,6158722279394,28486498619912
6/30/2021,22329822962202,6199612910938,28529435873140
6/29/2021,22182683339412,6149638582260,28332321921672
6/28/2021,22206789980508,6144455676480,28351245656988
6/25/2021,22205687956461,6131613409981,28337301366442
6/24/2021,22187767708507,6134151567826,28321919276333
6/23/2021,22183392725037,6121515704597,28304908429634
6/22/2021,22180632086932,6138049027539,28318681114472
6/21/2021,22175169756124,6128546776458,28303716532582
6/18/2021,22174123894524,6121835348442,28295959242966
6/17/2021,22173891789492,6121985843645,28295877633137
6/16/2021,22200126454793,6110948160650,28311074615443
6/15/2021,22199581858833,6122095157080,28321677015913
6/14/2021,22098725144894,6108260301115,28206985446009
6/11/2021,22097493949542,6101700172386,28199194121927
6/10/2021,22097330750280,6101590528095,28198921278375
6/9/2021,22120188903981,6097651106795,28217840010776
6/8/2021,22119292849172,6114247056125,28233539905297
6/7/2021,22113630122094,6150714316302,28264344438395
6/4/2021,22112452092667,6145724602342,28258176695008
6/3/2021,22111555489083,6130387716042,28241943205125
6/2/2021,22135045676298,6141843820720,28276889497018
6/1/2021,22134003260072,6127929696255,28261932956327
5/28/2021,22020939013606,6178069324915,28199008338521
5/27/2021,21983687097488,6179954441120,28163641538608
5/26/2021,22005892292175,6181836272971,28187728565146
5/25/2021,22005337838702,6199345340521,28204683179223
5/24/2021,22024524562637,6189118887688,28213643450325
5/21/2021,22023188769145,6180265510931,28203454280075
5/20/2021,22023368939277,6178411518537,28201780457814
5/19/2021,22043405514971,6173897277551,28217302792522
5/18/2021,22042727374398,6189188425966,28231915800364
5/17/2021,22061105531881,6172509810126,28233615342006
5/14/2021,21983509838156,6156328156126,28139837994282
5/13/2021,21983347992327,6155059474088,28138407466415
5/12/2021,22005318639867,6151844208369,28157162848236
5/11/2021,22004657189638,6168275499885,28172932689523
5/10/2021,22019330546782,6161407291526,28180737838308
5/7/2021,22018250706028,6156584849562,28174835555589
5/6/2021,22019115149378,6157190866791,28176306016169
5/5/2021,22043397487052,6134473801663,28177871288714
5/4/2021,22042988570984,6132410823931,28175399394915
5/3/2021,22057630882663,6104796949093,28162427831756
4/30/2021,22056055138418,6118659345750,28174714484167
4/29/2021,21925659073778,6164507507969,28090166581747
4/28/2021,21943200600097,6168761282601,28111961882698
4/27/2021,21942657046607,6189594092712,28132251139319
4/26/2021,21957004963473,6185999431888,28143004395360
4/23/2021,21957478261707,6176680122513,28134158384220
4/22/2021,21957143354387,6171825443620,28128968798006
4/21/2021,21985230010323,6169791017148,28155021027472
4/20/2021,21985255784645,6185168435221,28170424219866
4/19/2021,21999763091557,6167798350671,28167561442228
4/16/2021,21998770702762,6156766345318,28155537048080
4/15/2021,21998736063711,6146277750105,28145013813816
4/14/2021,21952862957614,6130733678392,28083596636006
4/13/2021,21952364512798,6145221811265,28097586324063
4/12/2021,21956369879521,6135265334581,28091635214102
4/9/2021,21955507026274,6127481615780,28082988642054
4/8/2021,21955652659993,6125858764814,28081511424807
4/7/2021,21969175984437,6119944504707,28089120489144
4/6/2021,21967081393361,6118530813216,28085612206576
4/5/2021,21971846913111,6109774772971,28081621686082
4/2/2021,21971382795811,6102356920840,28073739716650
4/1/2021,21971261601026,6109866441905,28081128042931
3/31/2021,21986937011552,6145633292049,28132570303600
3/30/2021,21838638166664,6150607807894,27989245974557
3/29/2021,21842878877827,6147964379361,27990843257188
3/26/2021,21842176297660,6145354358895,27987530656555
3/25/2021,21816092391528,6147046434620,27963138826148
3/24/2021,21840451485509,6139294428977,27979745914486
3/23/2021,21839458802764,6156897759512,27996356562276
3/22/2021,21843202077966,6126577634202,27969779712168
3/19/2021,21842856763373,6122798833841,27965655597214
3/18/2021,21843029123526,6123753593187,27966782716712
3/17/2021,21860431420016,6114492274405,27974923694422
3/16/2021,21859707934095,6123915799949,27983623734044
3/15/2021,21884779949876,6117233541902,28002013491778
3/12/2021,21786192668157,6114166910988,27900359579145
3/11/2021,21786545592808,6113873476443,27900419069251
3/10/2021,21816186445186,6110440617854,27926627063040
3/9/2021,21816488165179,6128268255002,27944756420181
3/8/2021,21840832521439,6119360225556,27960192746994
3/5/2021,21839426762340,6115047188256,27954473950597
3/4/2021,21839665607325,6115315381011,27954980988336
3/3/2021,21868041292593,6111442830529,27979484123121
3/2/2021,21867120542752,6125580629964,27992701172716
