Country,Average_Tax,Code,Region,Sub_Region
Albania,14.5,ALB,Europe,Southern Europe
Andorra,8.9,AND,Europe,Southern Europe
Argentina,29.3,ARG,Americas,Latin America and the Caribbean
Australia,29.9,AUS,Oceania,Australia and New Zealand
Austria,23.8,AUT,Europe,Western Europe
Belgium,23,BEL,Europe,Western Europe
Botswana,27.3,BWA,Africa,Sub-Saharan Africa
Brazil,30.1,BRA,Americas,Latin America and the Caribbean
Bulgaria,9.2,BGR,Europe,Eastern Europe
Canada,24.6,CAN,Americas,Northern America
Cayman Islands,0,CYM,Americas,Latin America and the Caribbean
Chile,31.1,CHL,Americas,Latin America and the Caribbean
China ,23.5,CHN,Asia,Eastern Asia
Costa Rica,37.3,CRI,Americas,Latin America and the Caribbean
Croatia,15.8,HRV,Europe,Southern Europe
Curacao,20.5,CUW,Americas,Latin America and the Caribbean
Cyprus,10.4,CYP,Asia,Western Asia
Czech Republic,21.2,CZE,Europe,Eastern Europe
Democratic Republic of the Congo,31.6,COD,Africa,Sub-Saharan Africa
Denmark,19.6,DNK,Europe,Northern Europe
Estonia,17,ERI,Africa,Sub-Saharan Africa
Finland,19.1,FIN,Europe,Northern Europe
France,30.3,FRA,Europe,Western Europe
Germany,27.5,DEU,Europe,Western Europe
Greece,26.9,GRC,Europe,Southern Europe
Guernsey,0,GGY,Europe,Northern Europe
Hong Kong,15.2,HKG,Asia,Eastern Asia
Hungary,10,HUN,Europe,Eastern Europe
Iceland,18.3,ISL,Europe,Northern Europe
India,45.7,IND,Asia,Southern Asia
Indonesia,22.3,IDN,Asia,South-eastern Asia
Ireland,12,IRL,Europe,Northern Europe
Isle of Man,0,IMN,Europe,Northern Europe
Israel,22,ISR,Asia,Western Asia
Italy,20.7,ITA,Europe,Southern Europe
Jamaica,23.3,JAM,Americas,Latin America and the Caribbean
Japan,27.2,JPN,Asia,Eastern Asia
Jersey,0,JEY,Europe,Northern Europe
Kenya,26.2,KEN,Africa,Sub-Saharan Africa
Korea,25.6,KOR,Asia,Eastern Asia
Latvia,17,LVA,Europe,Northern Europe
Liechtenstein,10.1,LIE,Europe,Western Europe
Lithuania,13.4,LTU,Europe,Northern Europe
Luxembourg,22.7,LUX,Europe,Western Europe
Macau,11.5,MAC,Asia,Eastern Asia
Malta,28.5,MLT,Europe,Southern Europe
Mauritius,14,MUS,Africa,Sub-Saharan Africa
Mexico,26.8,MEX,Americas,Latin America and the Caribbean
Montserrat,30.5,MSR,Americas,Latin America and the Caribbean
Netherlands,22.6,NLD,Europe,Western Europe
New Zealand,27,NZL,Oceania,Australia and New Zealand
Norway,21.4,NOR,Europe,Northern Europe
Papua New Guinea,26.3,PNG,Oceania,Melanesia
Peru,27.7,PER,Americas,Latin America and the Caribbean
Poland,15.3,POL,Europe,Eastern Europe
Portugal,25.6,PRT,Europe,Southern Europe
Romania,14.3,ROU,Europe,Eastern Europe
Russia,18.8,RUS,Europe,Eastern Europe
Senegal,26.9,SEN,Africa,Sub-Saharan Africa
Seychelles,28.4,SYC,Africa,Sub-Saharan Africa
Singapore,16.3,SGP,Asia,South-eastern Asia
Slovak Republic,22.5,SVK,Europe,Eastern Europe
Slovenia,18.1,SVN,Europe,Southern Europe
South Africa,27.1,ZAF,Africa,Sub-Saharan Africa
Spain,25,ESP,Europe,Southern Europe
Sweden,19.8,SWE,Europe,Northern Europe
Switzerland,19.6,CHE,Europe,Western Europe
Thailand,22.5,THA,Asia,South-eastern Asia
Turkey,20.1,TUR,Asia,Western Asia
Turks and Caicos Islands,0,TCA,Americas,Latin America and the Caribbean
United Kingdom,18.4,GBR,Europe,Northern Europe
United States,24.6,USA,Americas,Northern America
