Year,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10,Decile_2_1,Decile_3_1,Decile_4_1,Decile_5_1,Decile_6_1,Decile_7_1,Decile_8_1,Decile_9_1,Decile_10_1
1966,-132313,1457.2,4080.1,7285.9,13114.7,21566.4,30892.4,41384.1,53333,72276.5,1457.2,2622.9,3205.8,5828.8,8451.7,9326,10491.7,11948.9,18943.5
1967,-12977.5,1805.6,5586,9310,14952.4,22851.7,31315.3,41189.5,52756.5,72222.7,1805.6,3780.4,3724,5642.4,7899.3,8463.6,9874.2,11567,19466.2
1968,-182203,1522.9,5438.9,9518,15500.8,23387.2,32361.3,42423.3,54388.8,74512.7,1522.9,3916,4079.1,5982.8,7886.4,8974.1,10062,11965.5,20123.9
1969,-503760,2023.3,5966.3,10116.7,16342.4,24383.8,33203.5,43579.6,56030.9,76264.3,2023.3,3943,4150.4,6225.7,8041.4,8819.7,10376.1,12451.3,20233.4
1970,-38657.7,1784.2,5699.5,10160,15859.6,24285,32958.2,42870.4,55508.5,76819.8,1784.2,3915.3,4460.5,5699.6,8425.4,8673.2,9912.2,12638.1,21311.3
1971,-77928.2,1948.2,5939.6,10216.2,15918.3,23758.6,32549.3,43003.1,56545.5,77453,1948.2,3991.4,4276.6,5702.1,7840.3,8790.7,10453.8,13542.4,20907.5
1972,-493764,1965.9,6172,10515.3,16916,24688.2,34060.6,44804.5,58063,80465.2,1965.9,4206.1,4343.3,6400.7,7772.2,9372.4,10743.9,13258.5,22402.2
1973,-28664.9,2432.2,6949.1,11726.5,17589.8,25624.7,34745.3,46037.5,59935.6,83823,2432.2,4516.9,4777.4,5863.3,8034.9,9120.6,11292.2,13898.1,23887.4
1974,-23121.6,2710.8,7375,11959.5,17739.9,25513.5,34283.8,45047.3,58601.4,80527.1,2710.8,4664.2,4584.5,5780.4,7773.6,8770.3,10763.5,13554.1,21925.7
1975,-165191,2807.9,7110.9,11486.8,17139,24249.9,32819.3,43029.8,56157.6,78401.8,2807.9,4303,4375.9,5652.2,7110.9,8569.4,10210.5,13127.8,22244.2
1976,-87214.8,3218.6,7614,11940.1,18169.7,25783.7,34262.9,44645.7,58143.2,80985.1,3218.6,4395.4,4326.1,6229.6,7614,8479.2,10382.8,13497.5,22841.9
1977,-77010.7,3165.3,7831.6,12236.9,18600,26268.5,35242.2,45684.3,59715.9,83210.7,3165.3,4666.3,4405.3,6363.1,7668.5,8973.7,10442.1,14031.6,23494.8
1978,-203345,3663.9,8396.4,12976.2,19540.7,27479.1,36638.8,47325.1,61675.2,86101.1,3663.9,4732.5,4579.8,6564.5,7938.4,9159.7,10686.3,14350.1,24425.9
