Country,Code,Unemployment,PCAP_Inc,Region,Sub_Region
Burundi,BDI,0.8,784.93,Africa,Sub-Saharan Africa
Central African Republic,CAF,4.33,986.68,Africa,Sub-Saharan Africa
Malawi,MWI,5.99,1106.62,Africa,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,4.55,1146.54,Africa,Sub-Saharan Africa
Niger,NER,0.69,1278.7,Africa,Sub-Saharan Africa
Mozambique,MOZ,3.39,1338.1,Africa,Sub-Saharan Africa
Liberia,LBR,3.3,1491,Africa,Sub-Saharan Africa
Chad,TCD,2.26,1649.53,Africa,Sub-Saharan Africa
Togo,TGO,4.05,1667.3,Africa,Sub-Saharan Africa
Madagascar,MDG,1.92,1719.91,Africa,Sub-Saharan Africa
Sierra Leone,SLE,4.6,1794.31,Africa,Sub-Saharan Africa
Guinea-Bissau,GNB,3.16,2077.4,Africa,Sub-Saharan Africa
Burkina Faso,BFA,4.96,2274.72,Africa,Sub-Saharan Africa
Uganda,UGA,2.44,2284.27,Africa,Sub-Saharan Africa
Ethiopia,ETH,2.79,2319.71,Africa,Sub-Saharan Africa
"Gambia, The",GMB,9.64,2321.24,Africa,Sub-Saharan Africa
Rwanda,RWA,1.35,2325.41,Africa,Sub-Saharan Africa
Mali,MLI,7.5,2424.33,Africa,Sub-Saharan Africa
Low income,LIC,5.3,2497.14,Americas,Latin America and the Caribbean
Heavily indebted poor countries (HIPC),HPC,4.94,2663.07,Americas,Latin America and the Caribbean
Guinea,GIN,4.35,2675.46,Africa,Sub-Saharan Africa
Tanzania,TZA,2.16,2770.68,Africa,Sub-Saharan Africa
Solomon Islands,SLB,0.79,2780.64,Oceania,Melanesia
Lesotho,LSO,24.65,2824.09,Africa,Sub-Saharan Africa
Zimbabwe,ZWE,5.73,2961.45,Africa,Sub-Saharan Africa
Haiti,HTI,14.5,3034.01,Americas,Latin America and the Caribbean
Least developed countries: UN classification,LDC,5.01,3129.56,Americas,Latin America and the Caribbean
Comoros,COM,8.43,3194.9,Africa,Sub-Saharan Africa
Vanuatu,VUT,1.95,3292.54,Oceania,Melanesia
Benin,BEN,2.54,3432.78,Africa,Sub-Saharan Africa
IDA only,IDX,5.02,3462.73,Asia,South-eastern Asia
Tajikistan,TJK,7.5,3529.31,Asia,Central Asia
Senegal,SEN,7.1,3545.1,Africa,Sub-Saharan Africa
Nepal,NPL,4.44,3567.99,Asia,Southern Asia
Zambia,ZMB,12.17,3624.02,Africa,Sub-Saharan Africa
Pre-demographic dividend,PRE,6.21,3657.54,Europe,Eastern Europe
Timor-Leste,TLS,5.06,3709.81,Asia,South-eastern Asia
Cameroon,CMR,3.62,3803.46,Africa,Sub-Saharan Africa
"Congo, Rep.",COG,10.27,3835.66,Africa,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),SSA,6.63,3901.6,Europe,Southern Europe
Sub-Saharan Africa,SSF,6.63,3926.79,Africa,Sub-Saharan Africa
Sub-Saharan Africa (IDA & IBRD countries),TSS,6.63,3926.79,Oceania,Polynesia
IDA total,IDA,5.31,3995.89,Europe,Eastern Europe
Sudan,SDN,17.71,4122.53,Africa,Northern Africa
Sao Tome and Principe,STP,13.86,4145.23,Africa,Sub-Saharan Africa
Kenya,KEN,2.98,4521.48,Africa,Sub-Saharan Africa
Papua New Guinea,PNG,2.74,4547.56,Oceania,Melanesia
Cambodia,KHM,0.31,4583.02,Asia,South-eastern Asia
Pakistan,PAK,4.65,4898.05,Asia,Southern Asia
Bangladesh,BGD,5.3,4964.09,Asia,Southern Asia
Fragile and conflict affected situations,FCS,7.51,4982.46,Africa,Sub-Saharan Africa
IDA blend,IDB,5.96,5080.12,Europe,Eastern Europe
Nigeria,NGA,9.01,5362.76,Africa,Sub-Saharan Africa
Myanmar,MMR,1.79,5369.71,Asia,South-eastern Asia
Mauritania,MRT,10.66,5427.06,Africa,Sub-Saharan Africa
Cote d'Ivoire,CIV,3.5,5443.22,Africa,Sub-Saharan Africa
Kyrgyz Republic,KGZ,7.89,5486.16,Asia,Central Asia
